available_bike_stands,dew_point,relative_humidity,temperature,apparent_temperature
9,4.2,58.0,12.3,9.8
9,4.2,58.0,12.3,9.8
9,4.2,58.0,12.3,9.8
9,4.2,58.0,12.3,9.8
9,4.2,58.0,12.3,9.8
8,4.2,58.0,12.3,9.8
14,3.1,52.0,12.7,9.3
6,3.7,84.0,6.2,4.1
6,2.6,73.0,7.1,4.6
6,2.7,75.0,6.8,4.4
14,1.2,42.0,13.9,11.4
12,0.4,38.0,14.6,11.8
10,1.1,41.0,14.2,11.3
14,4.7,60.0,12.2,10.4
14,5.2,71.0,10.2,8.8
13,2.5,73.0,7.0,5.0
13,2.3,75.0,6.4,4.2
14,1.8,73.0,6.3,4.1
14,2.7,87.0,4.7,2.7
13,2.0,84.0,4.5,2.2
13,1.6,86.0,3.7,1.3
13,1.3,76.0,5.2,2.9
13,1.5,77.0,5.2,3.1
13,1.7,84.0,4.2,2.0
14,2.1,83.0,4.8,2.6
16,2.4,89.0,4.1,1.9
12,3.0,83.0,5.6,3.4
12,3.0,77.0,6.7,4.7
14,2.9,70.0,8.1,5.9
15,3.6,64.0,10.1,8.1
18,4.4,59.0,12.2,10.4
17,5.5,60.0,13.1,11.2
14,5.8,60.0,13.4,11.6
15,6.2,56.0,14.9,13.0
9,6.1,56.0,14.8,12.7
9,6.1,58.0,14.2,12.3
8,6.1,62.0,13.3,11.7
9,6.2,67.0,12.1,10.9
12,5.6,71.0,10.7,9.3
12,5.3,69.0,10.7,9.1
11,5.7,78.0,9.3,7.8
13,5.3,82.0,8.2,6.5
14,5.6,83.0,8.4,6.8
14,4.9,86.0,7.1,5.4
14,4.2,88.0,6.1,4.2
14,3.9,87.0,5.9,3.9
14,4.0,87.0,6.0,4.3
16,3.5,92.0,4.7,2.9
19,4.5,91.0,5.8,4.3
19,4.8,91.0,6.1,4.6
20,5.8,80.0,9.1,7.8
6,6.6,73.0,11.2,9.8
7,7.0,66.0,13.2,11.6
10,7.5,60.0,15.2,13.8
15,7.6,57.0,16.2,14.7
17,7.9,55.0,17.0,15.2
11,6.3,47.0,17.8,15.2
16,7.2,50.0,17.7,15.3
18,7.3,52.0,17.2,15.1
19,8.5,62.0,15.8,14.5
10,8.6,69.0,14.2,13.4
10,8.4,72.0,13.4,12.8
10,7.2,71.0,12.3,11.1
8,7.5,83.0,10.2,8.9
10,7.9,84.0,10.5,9.5
9,7.8,81.0,10.9,10.0
9,8.0,81.0,11.2,9.8
9,8.2,82.0,11.1,10.1
9,7.9,83.0,10.7,9.8
9,7.9,87.0,9.9,9.0
10,7.8,88.0,9.7,9.0
9,7.3,84.0,9.9,8.8
10,7.4,83.0,10.1,9.4
10,9.2,87.0,11.3,10.9
9,9.5,89.0,11.2,10.6
8,9.9,87.0,12.0,11.9
9,8.6,68.0,14.5,13.2
10,9.5,67.0,15.6,15.0
10,6.7,53.0,16.3,14.8
11,7.8,60.0,15.5,13.9
9,7.1,56.0,15.9,14.5
